entry	vanilla_exit	cinderx_exit	classification
test.test__interpreters.*	1	1	SKIP_APPROVED_environmental
test.test__interpchannels.*	1	1	SKIP_APPROVED_environmental
test.test_crossinterp.*	1	1	SKIP_APPROVED_environmental
test.datetimetester.ExtensionModuleTests_Fast.test_concurrent_initialization_subinterpreter	1	1	SKIP_APPROVED_environmental
test.datetimetester.CapiTest_Fast.test_type_check_in_subinterp	1	1	SKIP_APPROVED_environmental
test.test_concurrent_futures.test_init.InterpreterPoolInitializerTest.*	1	1	SKIP_APPROVED_environmental
test.test_concurrent_futures.test_init.InterpreterPoolFailingInitializerTest.*	1	1	SKIP_APPROVED_environmental
test.test_concurrent_futures.test_as_completed.InterpreterPoolFailingInitializerTest.*	1	1	SKIP_APPROVED_environmental
test.test_concurrent_futures.test_as_completed.InterpreterPoolAsCompletedTest.*	1	1	SKIP_APPROVED_environmental
test.test_concurrent_futures.test_interpreter_pool.*	1	1	SKIP_APPROVED_environmental
test.test_capi.test_misc.InterpreterConfigTests.*	1	1	SKIP_APPROVED_environmental
test.test_capi.test_misc.InterpreterIDTests.*	1	1	SKIP_APPROVED_environmental
test.test_capi.test_getargs.ParseTupleAndKeywords_Test.test_gh_119213	1	1	SKIP_APPROVED_environmental
test.test_pyrepl.test_pyrepl.TestDumbTerminal.test_dumb_terminal_exits_cleanly	1	1	SKIP_APPROVED_environmental
test.test_code.CodeTest.test_stateless	1	1	SKIP_APPROVED_environmental
test.test_code.CoExtra.*	0	0	STALE_skip_test_now_passes_both
test.test_sysconfig.TestSysConfig.test_sysconfigdata_json	1	1	SKIP_APPROVED_environmental
test.test_sysconfig.TestSysConfig.test_EXT_SUFFIX_in_vars	0	0	STALE_skip_test_now_passes_both
test.test_sysconfig.TestSysConfig.test_soabi	1	1	SKIP_APPROVED_environmental
test.test_subprocess.ProcessTestCase.test_executable_without_cwd	0	0	STALE_skip_test_now_passes_both
test.test_subprocess.ProcessTestCaseNoPoll.test_executable_without_cwd	0	0	STALE_skip_test_now_passes_both
